timestamp,website_id,customer_id,app_version,placeholder,checkout_amount,url,source_file,date,hour,day_of_week
2017-07-01 07:00:05+00:00,124,9221,1.1,,6.0,http://xyz.com/checkout?Bignay=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:00:14+00:00,124,1639,1.1,,6.0,http://xyz.com/checkout?Ume=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 00:00:15+00:00,124,8272,1.1,,6.0,http://xyz.com/checkout?Natal+Orange=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 00:00:18+00:00,123,6921,1.1,,6.0,http://www.example.com/store/?Natal+Orange=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 00:00:19+00:00,124,9219,1.1,,4.0,http://xyz.com/checkout?Hazelnut=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 00:00:28+00:00,124,8451,1.1,,7.0,http://xyz.com/checkout?Round+Kumquat=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 00:00:32+00:00,124,6079,1.1,,5.0,http://xyz.com/checkout?Ylang-ylang=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 07:00:34+00:00,123,5267,1.1,,5.0,http://www.example.com/store/?Black%2FWhite+Pepper=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:00:37+00:00,123,10151,1.1,,12.0,http://www.example.com/store/?Ume=1&Natal+Orange=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:00:57+00:00,124,4481,1.1,,7.0,http://xyz.com/checkout?Round+Kumquat=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:01:26+00:00,124,9207,1.1,,6.0,http://xyz.com/checkout?Bignay=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 00:01:30+00:00,123,4083,1.1,,6.0,http://www.example.com/store/?Bignay=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 00:01:51+00:00,123,10601,1.1,,10.0,http://www.example.com/store/?Black%2FWhite+Pepper=1&Ylang-ylang=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 07:01:55+00:00,123,5455,1.1,,7.0,http://www.example.com/store/?Round+Kumquat=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 00:02:23+00:00,123,920,1.1,,5.0,http://www.example.com/store/?Ylang-ylang=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 00:02:49+00:00,124,5208,1.1,,8.0,http://xyz.com/checkout?Mabolo=1,2017-07-01.csv,2017-07-01,0,Saturday
2017-07-01 07:02:59+00:00,123,5373,1.1,,8.0,http://www.example.com/store/?Mabolo=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:03:01+00:00,123,5349,1.1,,6.0,http://www.example.com/store/?Bignay=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:03:10+00:00,124,4243,1.1,,8.0,http://xyz.com/checkout?Mabolo=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:03:13+00:00,124,10288,1.1,,11.0,http://xyz.com/checkout?European+Grape=1&Bignay=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:03:15+00:00,123,6075,1.1,,6.0,http://www.example.com/store/?Natal+Orange=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:03:19+00:00,124,937,1.1,,6.0,http://xyz.com/checkout?Ume=1,2017-07-01.csv,2017-07-01,7,Saturday
2017-07-01 07:03:29+00:00,123,2107,1.1,,5.0,http://www.example.com/store/?Black%2FWhite+Pepper=1,2017-07-01.csv,2017-07-01,7,Saturday
