date,hour,transactions,total_sales,average_order_value,unique_customers,date_label
2017-07-01,0,237,2258.0,9.527426160337553,235,2017-07-01
2017-07-01,1,229,2072.0,9.048034934497817,227,2017-07-01
2017-07-01,2,236,1844.0,7.813559322033898,236,2017-07-01
2017-07-01,3,253,2609.0,10.312252964426877,251,2017-07-01
2017-07-01,4,239,2953.0,12.355648535564853,238,2017-07-01
2017-07-01,5,210,2344.0,11.161904761904761,210,2017-07-01
2017-07-01,6,251,2661.0,10.601593625498008,250,2017-07-01
2017-07-01,7,452,5424.0,12.0,447,2017-07-01
2017-07-01,8,502,4273.0,8.51195219123506,495,2017-07-01
2017-07-01,9,464,5087.0,10.963362068965518,459,2017-07-01
2017-07-01,10,477,4642.0,9.731656184486374,472,2017-07-01
2017-07-01,11,492,5014.0,10.191056910569106,482,2017-07-01
2017-07-01,12,513,61343.0,119.57699805068226,509,2017-07-01
2017-07-01,13,511,5435.0,10.63600782778865,501,2017-07-01
2017-07-01,14,523,68261.0,130.51816443594646,516,2017-07-01
2017-07-01,15,464,4189.0,9.02801724137931,457,2017-07-01
2017-07-01,16,513,4782.0,9.321637426900585,510,2017-07-01
2017-07-01,17,461,3976.0,8.62472885032538,452,2017-07-01
2017-07-01,18,459,4993.0,10.877995642701524,453,2017-07-01
2017-07-01,19,506,4292.0,8.482213438735178,496,2017-07-01
2017-07-01,20,504,4407.0,8.744047619047619,496,2017-07-01
2017-07-01,21,480,3719.0,7.747916666666667,473,2017-07-01
2017-07-01,22,468,4459.0,9.527777777777779,463,2017-07-01
2017-07-01,23,459,12478.0,27.185185185185187,452,2017-07-01
2017-07-02,0,505,4290.0,8.495049504950495,495,2017-07-02
2017-07-02,1,481,5244.0,10.902286902286903,477,2017-07-02
2017-07-02,2,470,5805.0,12.351063829787234,465,2017-07-02
2017-07-02,3,471,4465.0,9.479830148619957,462,2017-07-02
2017-07-02,4,448,4615.0,10.301339285714286,444,2017-07-02
2017-07-02,5,499,5204.0,10.428857715430862,492,2017-07-02
2017-07-02,6,471,5059.0,10.740976645435245,465,2017-07-02
2017-07-02,7,460,5023.0,10.919565217391304,454,2017-07-02
2017-07-02,8,516,12636.0,24.488372093023255,510,2017-07-02
2017-07-02,9,525,5141.0,9.792380952380952,520,2017-07-02
2017-07-02,10,480,4464.0,9.3,471,2017-07-02
2017-07-02,11,471,12557.0,26.660297239915074,467,2017-07-02
2017-07-02,12,465,4676.0,10.055913978494624,462,2017-07-02
2017-07-02,13,453,58849.0,129.90949227373068,450,2017-07-02
2017-07-02,14,477,5343.0,11.20125786163522,467,2017-07-02
2017-07-02,15,497,4424.0,8.901408450704226,492,2017-07-02
2017-07-02,16,458,4046.0,8.83406113537118,452,2017-07-02
2017-07-02,17,496,4741.0,9.558467741935484,490,2017-07-02
2017-07-02,18,486,3978.0,8.185185185185185,482,2017-07-02
2017-07-02,19,490,5268.0,10.751020408163265,485,2017-07-02
2017-07-02,20,481,5007.0,10.40956340956341,471,2017-07-02
2017-07-02,21,509,4836.0,9.50098231827112,501,2017-07-02
2017-07-02,22,471,4466.0,9.481953290870488,466,2017-07-02
2017-07-02,23,457,3615.0,7.910284463894967,450,2017-07-02
2017-07-03,0,501,4710.0,9.401197604790418,496,2017-07-03
2017-07-03,1,485,12873.0,26.542268041237115,478,2017-07-03
2017-07-03,2,485,4996.0,10.301030927835052,479,2017-07-03
2017-07-03,3,470,4884.0,10.391489361702128,463,2017-07-03
2017-07-03,4,523,5269.0,10.074569789674952,519,2017-07-03
2017-07-03,5,523,4900.0,9.369024856596559,514,2017-07-03
2017-07-03,6,484,4059.0,8.386363636363637,479,2017-07-03
2017-07-03,7,510,64566.0,126.6,503,2017-07-03
2017-07-03,8,509,4688.0,9.210216110019646,507,2017-07-03
2017-07-03,9,468,6115.0,13.066239316239317,459,2017-07-03
2017-07-03,10,494,4930.0,9.979757085020243,487,2017-07-03
2017-07-03,11,457,3946.0,8.634573304157549,453,2017-07-03
2017-07-03,12,464,4118.0,8.875,458,2017-07-03
2017-07-03,13,480,4701.0,9.79375,476,2017-07-03
2017-07-03,14,480,4373.0,9.110416666666667,472,2017-07-03
2017-07-03,15,518,4903.0,9.465250965250965,513,2017-07-03
2017-07-03,16,521,5711.0,10.961612284069098,511,2017-07-03
2017-07-03,17,475,4105.0,8.642105263157895,465,2017-07-03
2017-07-03,18,453,4304.0,9.501103752759382,442,2017-07-03
2017-07-03,19,472,3835.0,8.125,467,2017-07-03
2017-07-03,20,495,5024.0,10.14949494949495,489,2017-07-03
2017-07-03,21,503,4868.0,9.677932405566601,496,2017-07-03
2017-07-03,22,510,4603.0,9.025490196078431,506,2017-07-03
2017-07-03,23,468,5102.0,10.901709401709402,464,2017-07-03
