timestamp,date,hour,website_id,customer_id,app_version,checkout_amount,url,source_file
2017-07-03 07:59:32+00:00,2017-07-03,7,124,8553,1.2,60000.0,http://xyz.com/checkout?Bignay=1&error=True,2017-07-03.csv
2017-07-01 14:33:54+00:00,2017-07-01,14,123,11613,1.1,55084.0,http://www.example.com/store/?Hazelnut=1015&Ume=998&Prairie+Potato=983&Mabolo=1059&Round+Kumquat=963&European+Grape=1011&Black%2FWhite+Pepper=1049&Bignay=999&Natal+Orange=965&Ylang-ylang=958,2017-07-01.csv
2017-07-01 12:44:11+00:00,2017-07-01,12,123,11613,1.1,55031.0,http://www.example.com/store/?Hazelnut=995&Ume=981&Prairie+Potato=1013&Mabolo=1020&European+Grape=976&Round+Kumquat=1011&Black%2FWhite+Pepper=1005&Ylang-ylang=1010&Natal+Orange=999&Bignay=990,2017-07-01.csv
2017-07-02 13:02:41+00:00,2017-07-02,13,123,11613,1.1,55002.0,http://www.example.com/store/?Hazelnut=986&Ume=1008&Prairie+Potato=1012&Ylang-ylang=1035&Round+Kumquat=988&Mabolo=1017&European+Grape=978&Black%2FWhite+Pepper=999&Natal+Orange=974&Bignay=1003,2017-07-02.csv
2017-07-03 01:44:26+00:00,2017-07-03,1,123,11612,1.1,8326.0,http://www.example.com/store/?Hazelnut=167&Ume=160&Prairie+Potato=130&Ylang-ylang=140&Round+Kumquat=129&Mabolo=171&European+Grape=151&Black%2FWhite+Pepper=130&Natal+Orange=147&Bignay=175,2017-07-03.csv
2017-07-02 08:57:09+00:00,2017-07-02,8,123,11611,1.1,8262.0,http://www.example.com/store/?Hazelnut=163&Ume=145&Prairie+Potato=156&Mabolo=164&Round+Kumquat=150&European+Grape=146&Black%2FWhite+Pepper=135&Bignay=160&Natal+Orange=140&Ylang-ylang=141,2017-07-02.csv
2017-07-02 11:50:23+00:00,2017-07-02,11,123,11611,1.1,8232.0,http://www.example.com/store/?Hazelnut=147&Ume=143&Prairie+Potato=153&Mabolo=151&European+Grape=168&Round+Kumquat=159&Black%2FWhite+Pepper=151&Bignay=150&Natal+Orange=121&Ylang-ylang=157,2017-07-02.csv
2017-07-01 14:14:34+00:00,2017-07-01,14,123,11611,1.1,8225.0,http://www.example.com/store/?Hazelnut=174&Ume=180&Prairie+Potato=142&Mabolo=146&European+Grape=138&Round+Kumquat=135&Black%2FWhite+Pepper=140&Bignay=140&Natal+Orange=155&Ylang-ylang=150,2017-07-01.csv
2017-07-01 23:23:12+00:00,2017-07-01,23,123,11612,1.1,8219.0,http://www.example.com/store/?Hazelnut=159&Ume=151&Prairie+Potato=143&Mabolo=130&Round+Kumquat=147&European+Grape=160&Black%2FWhite+Pepper=170&Ylang-ylang=111&Natal+Orange=166&Bignay=163,2017-07-01.csv
2017-07-01 12:12:13+00:00,2017-07-01,12,124,11609,1.1,573.0,http://xyz.com/checkout?Hazelnut=5&Ume=12&Prairie+Potato=7&Ylang-ylang=8&Round+Kumquat=8&European+Grape=14&Black%2FWhite+Pepper=12&Bignay=9&Natal+Orange=10&Mabolo=15,2017-07-01.csv
